192.168.1.1 - - [25/Mar/2026:10:00:01 +0000] "GET /index.html HTTP/1.1" 200 1234
192.168.1.2 - - [25/Mar/2026:10:00:02 +0000] "GET /login HTTP/1.1" 200 500
192.168.1.3 - - [25/Mar/2026:10:00:03 +0000] "GET /admin HTTP/1.1" 403 200
192.168.1.10 - - [25/Mar/2026:10:00:04 +0000] "GET /?id=1' OR '1'='1 HTTP/1.1" 200 400
192.168.1.11 - - [25/Mar/2026:10:00:05 +0000] "GET /login HTTP/1.1" 401 200
192.168.1.11 - - [25/Mar/2026:10:00:06 +0000] "GET /login HTTP/1.1" 401 200
192.168.1.11 - - [25/Mar/2026:10:00:07 +0000] "GET /login HTTP/1.1" 401 200
192.168.1.11 - - [25/Mar/2026:10:00:08 +0000] "GET /login HTTP/1.1" 401 200
192.168.1.11 - - [25/Mar/2026:10:00:09 +0000] "GET /login HTTP/1.1" 401 200
192.168.1.20 - - [25/Mar/2026:10:00:10 +0000] "GET /api HTTP/1.1" 200 100
192.168.1.20 - - [25/Mar/2026:10:00:10 +0000] "GET /api HTTP/1.1" 200 100
192.168.1.20 - - [25/Mar/2026:10:00:10 +0000] "GET /api HTTP/1.1" 200 100
192.168.1.20 - - [25/Mar/2026:10:00:10 +0000] "GET /api HTTP/1.1" 200 100
192.168.1.20 - - [25/Mar/2026:10:00:10 +0000] "GET /api HTTP/1.1" 200 100
192.168.1.20 - - [25/Mar/2026:10:00:10 +0000] "GET /api HTTP/1.1" 200 100
192.168.1.20 - - [25/Mar/2026:10:00:10 +0000] "GET /api HTTP/1.1" 200 100
192.168.1.20 - - [25/Mar/2026:10:00:10 +0000] "GET /api HTTP/1.1" 200 100
192.168.1.20 - - [25/Mar/2026:10:00:10 +0000] "GET /api HTTP/1.1" 200 100
192.168.1.20 - - [25/Mar/2026:10:00:10 +0000] "GET /api HTTP/1.1" 200 100
